anshan,鞍山
anyang,安阳
anqing,安庆
ankang,安康
abazhou,阿坝州
anshun,安顺
au,澳大利亚
macau,澳门
akesu,阿克苏
alaer,阿拉尔
ali,阿里
aba,阿坝
alsm,阿拉善盟
anda,安达
anning,安宁
anqiu,安丘
fjax,安溪
bj,  北京
bt,包头
bd,保定
bh,北海
baoji,宝鸡
binzhou,滨州
bengbu,蚌埠
benxi,本溪
baicheng,白城
bozhou,亳州
baoshan,保山
bazhong,巴中
baishan,白山
baiyin,白银
baise,百色
bijie,毕节
byne,巴彦淖尔
boston,波士顿
bazhou,巴州
betl,博尔塔拉
bulgaria,保加利亚
binxian,宾县
baoying,宝应
bayan,巴彦
gxby,宾阳
cqbishan,璧山
boluo,博罗
hbbz,霸州
cq,重庆
cd,成都
cs,长沙
changchun,长春
cz,常州
changshu,常熟
chenzhou,郴州
chengde,承德
changzhi,长治
chuxiong,楚雄
chaoyang,朝阳
chaohu,巢湖
chizhou,池州
chifeng,赤峰
chuzhou,滁州
cangzhou,沧州
chaozhou,潮州
cqchangshou,长寿
changle,长乐
chongzuo,崇左
changde,常德
changxing,长兴
changdu,昌都
cixi,慈溪
changge,长葛
changyi,昌邑
chunan,淳安
ahcf,长丰
sdcl,昌乐
chongzhou,崇州
changli,昌黎
jncq,长清
ytcd,长岛
cn,常宁
dl,大连
dg,东莞
germany,德国
dy,东营
dz,德州
daqing,大庆
dandong,丹东
datong,大同
dali,大理
dehong,德宏
dazhou,达州
deyang,德阳
deqing,德清
dingxi,定西
diqing,迪庆
dxal,大兴安岭
dongtai,东台
donggang,东港
dangtu,当涂
dangyang,当阳
dengfeng,登封
dehui,德惠
dingzhou,定州
dayi,大邑
cqdazu,大足
cqdianjiang,垫江
dongfang,东方
dujiangyan,都江堰
danzhou,儋州
dengzhou,邓州
dh,德化
donghai,东海
erds,鄂尔多斯
enshi,恩施
ezhou,鄂州
enping,恩平
emeishan,峨眉山
fs,佛山
fq,福清
fz,福州
fushun,抚顺
fuyang,阜阳
fuxin,阜新
jxfuzhou,抚州
fangchenggang,防城港
fengdu,丰都
fuling,涪陵
feicheng,肥城
zjfy,富阳
fenghua,奉化
fengcheng,凤城
feixi,肥西
feidong,肥东
jsfx,丰县
faku,法库
cqfengjie,奉节
funing,阜宁
fuan,福安
jxfc,丰城
fanchang,繁昌
gz,广州
gy,贵阳
guilin,桂林
ganzhou,赣州
guigang,贵港
guyuan,固原
guangan,广安
guangyuan,广元
bj,固安
ganzi,甘孜
guoluo,果洛
gannan,甘南
gaomi,高密
gongyi,巩义
gaoyou,高邮
guangrao,广饶
gaobeidian,高碑店
guzhen,固镇
gaoling,高陵
njgc,高淳
gongzhuling,公主岭
world,海外
hz,杭州
hrb,哈尔滨
hn,海南
hn,海口
hf,合肥
nm,呼和浩特
hd,邯郸
huizhou,惠州
huaian,淮安
heze,菏泽
huzhou,湖州
hs,衡水
hengyang,衡阳
hanzhong,汉中
huangshi,黄石
huaihua,怀化
haimen,海门
huoqiu,霍邱
huian,惠安
huanggang,黄冈
hechi,河池
honghe,红河
hegang,鹤岗
hebi,鹤壁
huainan,淮南
huaibei,淮北
huangshan,黄山
huludao,葫芦岛
heyuan,河源
hezhou,贺州
heihe,黑河
hechuan,合川
huangnan,黄南
haixi,海西
haidong,海东
haibei,海北
hlbe,呼伦贝尔
hailaer,海拉尔
hami,哈密
hetian,和田
haining,海宁
haian,海安
huidong,惠东
huxian,户县
hengxian,横县
huaiyuan,怀远
heshan,鹤山
haiyang,海阳
hailin,海林
whhn,汉南
huadian,桦甸
haicheng,海城
huairen,怀仁
haiyan,海盐
jn,济南
jl,吉林
jx,嘉兴
jh,金华
jc,晋城
jy,江阴
jm,江门
jiujiang,九江
jining,济宁
jieyang,揭阳
jiaozuo,焦作
jingzhou,荆州
jiamusi,佳木斯
jixi,鸡西
jian,吉安
jinchang,金昌
jinzhong,晋中
jiangdu,江都
jiaonan,胶南
jingjiang,靖江
jinzhou,锦州
jingdezhen,景德镇
jingmen,荆门
jiayuguan,嘉峪关
jiuquan,酒泉
cqjiangjin,江津
sf,旧金山
jiyuan,济源
jintan,金坛
jimo,即墨
jiande,建德
jinxian,进贤
jr,句容
scjt,金堂
sdjy,济阳
hbjz,晋州
jianyang,简阳
jiaozhou,胶州
jiangyan,姜堰
jizhou,蓟州
hbjs,京山
jinhu,金湖
jxja,靖安
jz,冀州
km,昆明
ks,昆山
kelamayi,克拉玛依
kashi,喀什
kaifeng,开封
kzls,克孜勒苏
kaiping,开平
kaili,凯里
kangping,康平
kaiyang,开阳
cqkaixian,开县
kuitun,奎屯
kuerle,库尔勒
lz,兰州
ls,丽水
lyg,连云港
ly,洛阳
liuzhou,柳州
lf,廊坊
lc,聊城
linyi,临沂
leshan,乐山
lvliang,吕梁
liaoyang,辽阳
liaoyuan,辽源
linfen,临汾
longyan,龙岩
luohe,漯河
luzhou,泸州
longhai,龙海
longkou,龙口
laizhou,莱州
lijiang,丽江
luan,六安
laiwu,莱芜
lincang,临沧
liangshan,凉山
longnan,陇南
laibin,来宾
liupanshui,六盘水
loudi,娄底
la,洛杉矶
lasa,拉萨
linxia,临夏
linzhi,林芝
sxly,临猗
linhai,临海
liyang,溧阳
laixi,莱西
linan,临安
lianjiang,连江
linqu,临朐
lujiang,庐江
laiyang,莱阳
lantian,蓝田
liaozhong,辽中
liuyang,浏阳
luanxian,滦县
luannan,滦南
